Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor
94854,Developing as a Leader,6,A4,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Lassman, David"
94855,Innovation Management in Practice,6,A,,M,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Williams, Jimmy"
94856,Managerial and Engineering Economics,12,A,,MW,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",SH  125,"O'Connor, Jason"
94857,The Strategy and Management of Technological Innovation,12,A,,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Armanios, Daniel"
94859,International Crisis Negotiation Exercise,3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Borzutzky, Silvia
Lassman, David"
94866,Design Thinking,6,A4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Zak, Timothy"
,,,B4,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Zak, Timothy"
94867,Decision Analytics for Business and Policy,12,A,,MWF,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter"
,,,B,,MWF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1202,"Zhang, Peter"
94870,Telling Stories with Data,6,A3,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1202,"Goranson, Christopher"
94876,Computational Forensics and AI,12,A,,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",WEH 5409,"Singh, Rita"
94881,Managing Analytic Projects,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Steier, David"
,,,Z4,Y,TR,07:00PM,08:20PM,"Pittsburgh, Pennsylvania",DNM,"Steier, David"
94883,Applied Ethical Analysis,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Apple, Rebekah"
94886,Advances in Robotic Process Automation,6,A4,Y,R,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Honig, Larry
Morrow, Jennifer"
94887,Applied Analytics:  ML Pipeline,12,A,,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1007,"Weiss, Jeremy"
94889,Machine Learning for Public Policy Lab,12,A,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",GHC 4307,"Ghani, Rayid
Rodolfa, Kit"
94890,"Race, Politics and Policies in the US",6,A4,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1007,"Borzutzky, Silvia"
94899,Apprenticeship,0-24,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Jordan, James"
,,,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
