2018,Fall,Heinz College,ISM,95819,A2,"FERREIRA, PEDRO","A/B TEST, DESIGN ANA",Graduate,26,15,57,7.6, , ,4.8,4.53,4.67,4.73,4.73,4.6,4.8,4.6,4.6
2018,Spring,Heinz College,ISM,95819,A3,"FERREIRA, PEDRO","A/B TEST, DESIGN ANA",Graduate,27,20,74,7.25, , ,4.95,4.85,4.9,4.85,4.9,4.9,4.9,4.9,4.89
2017,Spring,Heinz College,ISM,95819,A3,"FERREIRA, PEDRO",MEAS CAUCAL EFF ONLI,Graduate,10,10,100,8.33, , ,4.4,4.1,4.1,4,4.2,4.1,4.4,4.3,3.8
2016,Spring,Heinz College,ISM,95819,A3,"FERREIRA, PEDRO",MEAS CAUCAL EFF ONLI,Graduate,8,4,50,12, , ,4.75,5,5,5,4.75,5,5,5,5
2015,Spring,Heinz College,ISM,95819,A3,"FERREIRA, PEDRO",MEAS CAUCAL EFF ONLI,Graduate,7,5,71,6.5, , ,4.8,5,5,4.75,4.8,4.8,5,5,5
