2019,Spring,Heinz College,ISM,95807,Z,"DWIVEDI, NEELAM",OBJCT-ORNTD PROG MGR,Graduate,17,14,82,9.29, , ,4.93,4.93,5,4.93,4.86,4.86,4.93,5,4.93
2018,Spring,Heinz College,ISM,95807,Z,"DWIVEDI, NEELAM",OBJCT-ORNTD PROG MGR,Graduate,18,10,55,11.7, , ,4.7,4.9,4.8,4.7,4.7,4.6,5,4.7,4.8
2017,Spring,Heinz College,ISM,95807,Z,"SABO, STACEY",OBJCT-ORNTD PROG JAV,Graduate,9,4,44,15, , ,4.25,4.25,4.25,4,4.5,4.33,4.5,4.5,4.25
2017,Summer,Heinz College,ISM,95807,Z,"SABO, STACEY",OBJCT-ORNTD PROG MGR,Graduate,15,9,60,12.78, , ,4.11,4.22,4.11,4,4.11,4,4.22,4.11,3.89
2016,Spring,Heinz College,ISM,95807,Z,"SABO, STACEY",OBJCT-ORNTD PROG JAV,Graduate,15,8,53,13.38, , ,3.88,4,3.75,3.63,3.5,3.88,4,3.75,3.88
2015,Spring,Heinz College,ISM,95807,Z,"SABO, STACEY",OBJCT-ORNTD PROG JAV,Graduate,22,12,54,12.33, , ,4.33,4.42,4.36,3.75,4.17,4.09,4.75,4.09,3.92
2015,Summer,Heinz College,ISM,95807,Z,"SABO, STACEY",OBJCT-ORNTD PROG JAV,Graduate,15,12,80,13.25, , ,4.36,4.09,4.27,4,4.36,3.82,4.5,4.45,3.92
