2019,Fall,Heinz College,HC,94707,B1,"LIGHTMAN, ARI",DATA FOCUSED MRKTG,Graduate,38,33,86,6.73, , ,3.48,3.09,3.09,3.27,3.76,3.12,3.76,3.21,3
2019,Fall,Heinz College,HC,94707,A1,"LIGHTMAN, ARI",DATA FOCUSED MRKTG,Graduate,38,35,92,7.23, , ,4.26,3.69,3.66,3.71,3.89,3.37,4.69,3.46,3.29
2018,Fall,Heinz College,HC,94707,A2,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,32,24,75,6.04, , ,4.25,3.75,4.08,3.78,4.39,4.21,4.79,4.04,3.83
2018,Fall,Heinz College,HC,94707,B2,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,27,24,88,5.63, , ,4.33,3.67,3.71,3.67,4.25,4.13,4.67,4.17,3.83
2017,Fall,Heinz College,HC,94707,A1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,32,25,78,6.68, , ,4.28,3.44,3.52,3.42,4.16,3.76,4.68,3.76,3.58
2017,Fall,Heinz College,HC,94707,B1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,25,18,72,7.72, , ,4.61,4.06,3.94,3.89,4.61,4.39,4.78,4.28,4.28
2016,Fall,Heinz College,HC,94707,A1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,39,36,92,6.37, , ,4.44,4.22,4.31,4.03,4.53,4.5,4.89,4.44,4.33
2016,Fall,Heinz College,HC,94707,B1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,37,34,91,7.55, , ,4.44,4.12,4.24,3.82,4.35,4.29,4.79,4.29,4.15
2015,Fall,Heinz College,HC,94707,A1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,37,36,97,7.31, , ,4.5,4.19,4.14,3.83,4.47,4.28,4.69,4.22,4.03
2015,Fall,Heinz College,HC,94707,B1,"LIGHTMAN, ARI",PRINCIPLES OF MRKTG,Graduate,32,31,96,6.35, , ,4.68,4.39,4.45,4.19,4.61,4.52,4.87,4.48,4.42
