2019,Fall,Heinz College,HC,94834,A1,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,35,27,77,10.22, , ,4.59,4.44,4.52,4.04,4.67,4.44,4.78,4.48,4.22
2019,Spring,Heinz College,HC,94834,A3,"JHA, AKSHAYA",APPL ECONOMETRICS I,Graduate,47,34,72,8.97, , ,4.03,3.68,3.76,3.44,4.18,3.41,4.5,3.42,3.62
2018,Fall,Heinz College,HC,94834,D2,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,39,32,82,9.13, , ,4.56,4.03,4.16,3.97,4.38,4.19,4.75,4.09,3.97
2018,Fall,Heinz College,HC,94834,A1,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,34,32,94,10.34, , ,4.84,4.63,4.78,4.47,4.78,4.59,4.88,4.59,4.42
2018,Fall,Heinz College,HC,94834,B2,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,42,32,76,9.5, , ,3.75,3.63,3.81,3.38,3.88,3.31,4.31,3.47,3.38
2018,Fall,Heinz College,HC,94834,C2,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,42,39,92,8.85, , ,4.28,4,4.13,3.72,4.33,3.64,4.67,3.64,3.82
2018,Spring,Heinz College,HC,94834,A3,"JHA, AKSHAYA",APPL ECONOMETRICS I,Graduate,39,38,97,8.89, , ,4.24,3.71,3.84,3.62,3.87,3.58,4.61,3.63,3.68
2017,Fall,Heinz College,HC,94834,B2,"TAYLOR, LOWELL",APPL ECONOMETRICS I,Graduate,46,31,67,9.26, , ,4.45,4.29,4.39,3.77,4.48,4.42,4.74,4.48,4.23
2017,Fall,Heinz College,HC,94834,A1,"TAYLOR, LOWELL",APPL ECONOMETRICS I,Graduate,35,19,54,10.84, , ,4.79,4.58,4.63,3.84,4.58,4.32,4.84,4.47,4.42
2017,Fall,Heinz College,HC,94834,C2,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,42,26,61,9.85, , ,4.46,4.62,4.58,3.96,4.62,4.58,4.85,4.42,4.35
2017,Spring,Heinz College,HC,94834,A3,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,33,28,84,8.78, , ,4.57,4.48,4.5,4,4.59,4.39,4.68,4.5,4.21
2016,Fall,Heinz College,HC,94834,B2,"TAYLOR, LOWELL",APPL ECONOMETRICS I,Graduate,37,26,70,9.64, , ,4.69,4.69,4.69,4.31,4.73,4.77,4.88,4.77,4.77
2016,Fall,Heinz College,HC,94834,A1,"TAYLOR, LOWELL",APPL ECONOMETRICS I,Graduate,43,31,72,9.45, , ,4.65,4.53,4.61,3.94,4.68,4.42,4.81,4.52,4.3
2016,Fall,Heinz College,HC,94834,C2,"SEVERNINI, EDSON",APPL ECONOMETRICS I,Graduate,35,30,85,8.68, , ,4.57,4.57,4.73,4.17,4.77,4.66,4.7,4.6,4.43
2016,Spring,Heinz College,HC,94834,A3,"JHA, AKSHAYA",APPL ECONOMETRICS I,Graduate,33,22,66,8, , ,4.23,4.09,3.91,3.9,4.05,3.71,4.62,3.71,3.91
2016,Spring,Heinz College,HC,94834,B3,"JHA, AKSHAYA",APPL ECONOMETRICS I,Graduate,32,28,87,9.31, , ,3.96,3.57,3.46,3.39,3.71,3.64,4.56,3.46,3.57
2015,Fall,Heinz College,HC,94834,A1,"JHA, AKSHAYA",APPL ECONOMETRICS I,Graduate,22,16,72,11.25, , ,4.06,3.75,3.56,3.88,4,3.44,4.63,3.63,3.6
2015,Spring,Heinz College,HC,94834,A3,"ZHANG, YI",APPL ECONOMETRICS I,Graduate,32,21,65,10.52, , ,4.38,3.76,3.86,3.9,4.15,3.95,4.57,4.05,4
