2018,Spring,Heinz College,ISM,95900,K,"OLOUGHLIN, TIMOTHY",INTERNSHIP,Graduate,15,9,60,27, , ,3.38,3.38,3.63,3.38,3.5,3.5,3.88,3.5,3.63
2017,Spring,Heinz College,ISM,95900,K,"OLOUGHLIN, TIMOTHY",INTERNSHIP,Graduate,16,7,43,24.29, , ,4.43,4.57,4.57,4.57,4.57,4.57,4.57,4.43,4.43
2016,Spring,Heinz College,ISM,95900,K,"OLOUGHLIN, TIMOTHY",INTERNSHIP,Graduate,3,1,33,27, , ,4,5,4,5,5,5,5,5,5
2015,Spring,Heinz College,ISM,95900,K,"UNDERWOOD, COLIN",INTERNSHIP,Graduate,7,3,42,18.67, , ,2.5,3.5,2.5,2.5,2.5,2.5,3.5,2.5,4.5
