2019,Fall,Heinz College,HC,94828,A1,"BRIDGES, MICHAEL",SURVEY DESIGN,Graduate,35,28,80,5.21, , ,4.75,4.43,4.43,4.61,4.54,4.5,4.86,4.61,4.32
2018,Fall,Heinz College,HC,94828,A1,"BRIDGES, MICHAEL",SURVEY DESIGN,Graduate,31,24,77,5.63, , ,4.92,4.67,4.75,4.54,4.79,4.92,4.96,4.75,4.63
2017,Fall,Heinz College,HC,94828,A1,"BRIDGES, MICHAEL",SURVEY DESIGN,Graduate,33,17,51,4.47, , ,4.65,4.71,4.76,4.76,4.88,4.65,4.88,4.76,4.76
2016,Fall,Heinz College,HC,94828,A1,"BRIDGES, MICHAEL",SURVEY DESIGN,Graduate,27,26,96,5.58, , ,4.85,4.72,4.85,4.77,4.77,4.77,4.88,4.77,4.69
2015,Fall,Heinz College,HC,94828,A1,"SUTKUS, JANEL",SURVEY DESIGN,Graduate,19,18,94,7.5, , ,3.5,3.61,3.89,3.22,3.83,3.67,3.44,3.18,3.22
