2019,Spring,Heinz College,ISM,95866,B3,"LI, BEIBEI",ADV BUSINESS ANALYTC,Graduate,90,39,43,8.87, , ,4.31,4.13,4.21,4.1,4.33,4.1,4.56,4.05,3.92
2018,Fall,Heinz College,ISM,95866,Z2,"STONE, RONALD",ADV BUSINESS ANALYTC,Graduate,15,12,80,12.83, , ,4.75,4.25,4.08,4.08,4.42,4.58,4.75,4.5,3.92
2018,Fall,Heinz College,ISM,95866,A2,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,34,22,64,8.95, , ,3.91,3.82,3.82,3.82,4.14,3.82,4.41,3.73,3.82
2018,Spring,Heinz College,ISM,95866,A4,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,55,30,54,10.17, , ,3.77,3.7,3.47,3.27,3.8,3.55,3.97,3.55,3.53
2017,Fall,Heinz College,ISM,95866,A2,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,17,7,41,7.57, , ,4,4.14,3.86,3.71,4.86,4,4.43,3.86,3.86
2017,Fall,Heinz College,ISM,95866,Z2,"ZHANG, YI",ADV BUSINESS ANALYTC,Graduate,17,9,52,12.13, , ,5,4.75,4.88,4.88,4.75,4.89,5,4.89,4.67
2017,Spring,Heinz College,ISM,95866,A4,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,46,32,69,8.4, , ,4.06,3.97,3.97,3.84,4,4,4.44,3.88,3.88
2016,Fall,Heinz College,ISM,95866,A2,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,30,19,63,10.42, , ,4.11,4,4,3.84,4.32,3.89,4.11,3.74,3.95
2016,Fall,Heinz College,ISM,95866,Z2,"ZHANG, YI",ADV BUSINESS ANALYTC,Graduate,17,13,76,14.46, , ,4.69,4.69,4.38,4.69,4.54,4.54,4.69,4.38,4.23
2016,Spring,Heinz College,ISM,95866,A4,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,55,37,67,9.15, , ,4.14,4.11,3.92,3.76,4.03,3.97,4.16,3.95,4
2015,Fall,Heinz College,ISM,95866,Z2,"ZHANG, YI",ADV BUSINESS ANALYTC,Graduate,7,6,85,13.67, , ,4.33,4.17,4.33,4.33,4.17,4.17,4.83,4.5,4.5
2015,Fall,Heinz College,ISM,95866,A2,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,18,8,44,8.86, , ,4,4,4.25,4,4.13,3.88,4.5,3.88,4.13
2015,Spring,Heinz College,ISM,95866,A4,"TELANG, RAHUL",ADV BUSINESS ANALYTC,Graduate,49,32,65,8.19, , ,3.97,3.63,3.72,3.72,3.97,3.91,4.44,3.72,3.91
