2019,Spring,Heinz College,HC,94830,A4,"SETODJI, CLAUDE",ANALYSIS SURVEY DATA,Graduate,22,19,86,8, , ,4.42,3.89,4.16,4.11,4.26,4.28,4.72,4,3.95
2018,Spring,Heinz College,HC,94830,A4,"SETODJI, CLAUDE",ANALYSIS SURVEY DATA,Graduate,22,15,68,7.8, , ,4,3.8,3.64,3.5,3.64,3.79,4.43,3.36,3.13
2017,Spring,Heinz College,HC,94830,A4,"SETODJI, CLAUDE",ANALYSIS SURVEY DATA,Graduate,26,20,76,8.3, , ,3.95,3.5,3.4,3.55,3.75,3.45,4.35,3.35,3.3
2016,Spring,Heinz College,HC,94830,A4,"SETODJI, CLAUDE",ANALYSIS SURVEY DATA,Graduate,26,22,84,8.41, , ,4.27,3.82,3.67,3.55,4.09,3.68,4.36,3.68,3.45
2015,Spring,Heinz College,HC,94830,A3,"SUTKUS, JANEL",ANALYSIS SURVEY DATA,Graduate,19,19,100,9.59, , ,3.89,4.05,4.11,3.63,4.21,4.21,3.68,4.05,3.89
