2019,Spring,Heinz College,ISM,95812,A4,"SMALLEY, RYAN",INTR ITIL FRAMEWORK,Graduate,27,27,100,5.89, , ,4.63,4.56,4.78,4.63,4.78,4.63,4.7,4.63,4.63
2018,Spring,Heinz College,ISM,95812,A4,"SMALLEY, RYAN",INTR ITIL FRAMEWORK,Graduate,26,23,88,6.43, , ,4.7,4.7,4.74,4.57,4.7,4.61,4.74,4.65,4.61
2017,Spring,Heinz College,ISM,95812,A4,"SMALLEY, RYAN",INTR ITIL FRAMEWORK,Graduate,20,17,85,6.6, , ,4.82,4.88,4.82,4.76,4.82,4.88,4.94,4.88,4.82
2016,Spring,Heinz College,ISM,95812,A4,"SMALLEY, RYAN",INTR ITIL FRAMEWORK,Graduate,32,21,65,5.29, , ,4.81,4.76,4.81,4.62,4.81,4.81,4.76,4.76,4.76
2015,Spring,Heinz College,ISM,95812,A4,"SMALLEY, RYAN",INTR ITIL FRAMEWORK,Graduate,35,25,71,6.43, , ,4.72,4.76,4.84,4.68,4.76,4.84,4.8,4.72,4.6
