2019,Fall,Heinz College,ISM,95813,A1,"SMITH, JEREMY",INTERMED DATABSE MGT,Graduate,23,15,65,10.6, , ,4.53,4.8,4.8,4.33,4.53,4.67,5,4.53,4.53
2018,Fall,Heinz College,ISM,95813,A1,"SMITH, JEREMY",INTERMED DATABSE MGT,Graduate,20,11,55,8, , ,4.18,4.55,4.45,4.27,4.36,4.64,4.82,4.64,4.55
2017,Fall,Heinz College,ISM,95813,A1,"SMITH, JEREMY",INTERMED DATABSE MGT,Graduate,20,15,75,12.33, , ,4.33,4.4,4.47,4,4.13,4.53,4.67,4.2,4.13
2016,Fall,Heinz College,ISM,95813,A1,"SZCZYPULA, JANUSZ",INTERMED DATABSE MGT,Graduate,15,13,86,11.92, , ,4.77,4.85,4.85,4.54,4.69,4.85,4.69,4.77,4.62
2015,Fall,Heinz College,ISM,95813,A1,"SZCZYPULA, JANUSZ",INTERMED DATABSE MGT,Graduate,20,14,70,12.77, , ,4.79,4.93,4.93,4.93,4.93,4.93,4.64,4.86,4.79
