2019,Spring,Heinz College,ISM,95757,A4,"TUCKER, BRETT",INFO SEC POL & MGT,Graduate,3,3,100,7, , ,4.33,3,4,2.33,4,4.33,4.67,3.67,3
2018,Spring,Heinz College,ISM,95757,A4,"TELANG, RAHUL",INFO SEC POL & MGT,Graduate,7,2,28,6.5, , ,2.5,3,2.5,2.5,3.5,3,2.5,2.5,3
2017,Spring,Heinz College,ISM,95757,A4,"TELANG, RAHUL",INFO SEC POL & MGT,Graduate,5,4,80,7.25, , ,4.5,4.75,4.75,3.75,4.5,4.5,4.75,4.75,4.75
2016,Spring,Heinz College,ISM,95757,A4,"TELANG, RAHUL",INFO SEC POL & MGT,Graduate,8,7,87,7.57, , ,4.57,4.43,4.43,4.43,4.86,4.57,4.71,4.57,4.57
2015,Spring,Heinz College,ISM,95757,A4,"TELANG, RAHUL",INFO SEC POL & MGT,Graduate,12,7,58,8.43, , ,4.86,4.29,4,4.29,4.43,4.43,5,4.43,4.43
