Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
95702,Distributed Systems for Information Systems Management,12,A,,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH A301,"Mccarthy, Michael
Mertz, Joseph
Barrett, Martin",12.580758765044479,3.9945211930926217,3.895300889586603,3.8775039246467813,3.7652694924123495,3.979298796441654,3.8870591313448455,4.304243851386709,3.8423495552066966,3.6746310832025117
95702,Distributed Systems for Information Systems Management,12,B,,MW,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH A301,"Mertz, Joseph
Mccarthy, Michael
Barrett, Martin",12.580758765044479,3.9945211930926217,3.895300889586603,3.8775039246467813,3.7652694924123495,3.979298796441654,3.8870591313448455,4.304243851386709,3.8423495552066966,3.6746310832025117
95702,Distributed Systems for Information Systems Management,12,C,,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH A301,"Mccarthy, Michael
Mertz, Joseph
Barrett, Martin",12.580758765044479,3.9945211930926217,3.895300889586603,3.8775039246467813,3.7652694924123495,3.979298796441654,3.8870591313448455,4.304243851386709,3.8423495552066966,3.6746310832025117
95703,Database Management,12,K,,MW,01:30PM,02:50PM,"Adelaide, Australia",TOR CLASS2,"Szczypula, Janusz",12.601964285714288,4.556071428571427,4.685892857142858,4.693750000000001,4.46875,4.604285714285715,4.698750000000002,4.646785714285715,4.616428571428574,4.560892857142858
95703,Database Management,12,L,,MW,03:00PM,04:20PM,"Adelaide, Australia",TOR CLASS2,"Szczypula, Janusz",12.601964285714288,4.556071428571427,4.685892857142858,4.693750000000001,4.46875,4.604285714285715,4.698750000000002,4.646785714285715,4.616428571428574,4.560892857142858
95703,Database Management,12,Z,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Smith, Jeremy",11.062777777777775,4.034444444444443,4.135555555555555,4.206111111111111,3.829444444444445,3.8972222222222217,3.92,4.479444444444446,3.8827777777777777,3.935
95706,Object Oriented Analysis and Design,6,A4,Y,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1206,"Dwivedi, Neelam",9.083684210526316,4.534210526315789,4.5073684210526315,4.553157894736842,4.515789473684211,4.530000000000001,4.48578947368421,4.640526315789473,4.447368421052631,4.328947368421052
95710,Economic Analysis,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Clay, Karen",8.75076923076923,4.01,3.9676923076923063,3.9492307692307684,3.729230769230769,3.931538461538462,3.618461538461538,4.451923076923077,3.673076923076923,3.726153846153847
95710,Economic Analysis,6,A3,Y,F,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Clay, Karen",8.75076923076923,4.01,3.9676923076923063,3.9492307692307684,3.729230769230769,3.931538461538462,3.618461538461538,4.451923076923077,3.673076923076923,3.726153846153847
95710,Economic Analysis,6,K4,Y,TR,01:30PM,02:50PM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong",11.46047619047619,4.541904761904762,4.3309523809523816,4.34,4.456666666666666,4.474761904761904,4.181904761904762,4.634285714285714,4.343333333333334,4.22047619047619
95710,Economic Analysis,6,L4,Y,TR,03:00PM,04:20PM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong",11.46047619047619,4.541904761904762,4.3309523809523816,4.34,4.456666666666666,4.474761904761904,4.181904761904762,4.634285714285714,4.343333333333334,4.22047619047619
95715,Financial Accounting,6,K3,Y,MW,09:00AM,10:20AM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong",12.433913043478256,4.584782608695653,4.403043478260869,4.5086956521739125,4.423913043478261,4.6347826086956525,4.456956521739131,4.649565217391304,4.376521739130435,4.402173913043479
