Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
94808,Management Consulting,12,A,,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Brussalis, Chris",9.886666666666668,4.673750000000001,4.42125,4.565416666666666,4.513333333333333,4.699166666666667,4.635000000000001,4.780833333333334,4.504166666666666,4.457916666666667
94811,Strategy Development,6,A4,Y,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Zak, Timothy",7.780799999999999,4.163200000000001,3.954,4.190000000000001,3.2984000000000004,4.4148000000000005,4.369599999999999,4.4552000000000005,4.1588,3.8227999999999995
94813,Project Management,6,A3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Synnott, Laura",8.60457142857143,4.630571428571429,4.545428571428571,4.709428571428573,4.225142857142856,4.676857142857142,4.611142857142856,4.751142857142857,4.611714285714285,4.546571428571428
94813,Project Management,6,B3,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 2008,"Synnott, Laura",8.60457142857143,4.630571428571429,4.545428571428571,4.709428571428573,4.225142857142856,4.676857142857142,4.611142857142856,4.751142857142857,4.611714285714285,4.546571428571428
94820,Consumer Analytics in Health Care,3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94823,Measuring Social,12,A,,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1002,"Lightman, Ari",7.696315789473685,4.3500000000000005,4.150526315789474,4.172105263157896,4.094736842105264,4.237894736842105,4.217894736842105,4.697894736842105,4.285789473684211,4.0415789473684205
94827,SAS for Public Policy,6,A3,Y,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 2009,"Hunter, Gerald",11.545833333333333,4.020833333333333,4.0,4.020833333333333,3.785833333333333,4.0,3.8275,4.3983333333333325,3.6233333333333344,4.0
94829,Advanced Manufacturing (Making Things in the Future),3,A4,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Zak, Timothy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94832,Business Intelligence & Data Mining SAS,6,A4,Y,MW,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",HBH 1206,"Li, Beibei",7.88185185185185,4.1611111111111105,4.25962962962963,4.257777777777778,3.8925925925925924,4.347037037037036,4.180370370370371,4.508518518518518,4.158148148148148,4.028518518518518
94832,Business Intelligence & Data Mining SAS,6,B4,Y,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1206,"Li, Beibei",7.88185185185185,4.1611111111111105,4.25962962962963,4.257777777777778,3.8925925925925924,4.347037037037036,4.180370370370371,4.508518518518518,4.158148148148148,4.028518518518518
